SigAgente;DatGeracaoConjuntoDados;NumCNPJDistribuidora;DatCompetencia;VlrReceitaFaturada;VlrRepasseContaBandeira;VlrResultadoMCP;VlrCCEARD;VlrRiscoHidrologicoCCGFRepactuadas;VlrRiscoHidrologicoItaipu;VlrRiscoHidrologicoRepactuadas;VlrRiscoHidrologicoCCGF;VlrPrevisaoRiscoHidrologico;VlrPremioDeRisco;VlrESSEER;VlrRessarcimentoCONER;VlrCVAEnergiaMesAnterior;VlrESSEERMesAnterior;VlrExposicaoInvoluntariaMesAnt;VlrCVAEnergiaReceitaAlocada;VlrCVAESSEERReceitaAlocada;VlrExposicaoInvolunReceitaAloc;VlrCVAEnergiaAposRepasse;VlrCVAESSEERAposRepasse;VlrExposicaoInvolunAposRepasse;VlrAjusteRepasse
EAC                 ;2025-02-17;04065033000170;2024-12-01;661232,41;15563,1368;2282707,9384;-898334,3934;-1522387,4136;0;201119,05;141465,92;-1559865,3191;-305107,0645;13771,18;917941,9193;-483717,36;-1696977,32;-6792100,65;981902,6113;0;0;-3886341,7782;-765264,2207;-4509392,7116;0
EAC                 ;2025-02-17;04065033000170;2024-11-01;3636894,3;868,5943;2582993,6135;-409178,1358;-1225991,0742;0;440949,33;200308,25;-1595247,2585;-272001,3957;23087,15;-1325785,6534;5061216,14;-394278,82;-9375094,26;3909764,29;0;0;-483717,36;-1696977,3234;-6792100,6465;0
EAC                 ;2025-02-17;04065033000170;2024-10-01;5504209,98;-2136751,9684;-5719506,6797;1091750,2026;3969465,9399;0;4003254,82;1849587,95;-1595247,2586;-288129,5715;12749,66;-407028,4834;-25299151,79;0;24044555,72;0;0;3655587,5831;-20237935,6475;-394278,8234;14669461,4571;0
EAC                 ;2025-02-17;04065033000170;2024-09-01;1922832,14;-150452,1747;-1744181,9612;730277,0542;1791957,2979;0;2649406,83;1042324,79;-1595247,2585;-304527,0636;11947,36;308296,1866;-27821386,14;0;27545401,16;0;320243,5466;1756663,4824;-25299151,7879;0;24044555,7164;0
EAC                 ;2025-02-17;04065033000170;2024-08-01;602845,95;1023666,0508;2209841,4046;-375368,5874;-296098,123;0;1259307;315827,12;-1595247,2586;-275984,9844;2748,32;462886,9366;-27149919,43;0;26772421,48;0;465635,2566;1436861,7287;-27821386,1403;0;27545401,1559;0
EAC                 ;2025-02-17;04065033000170;2024-07-01;719045,86;7940344,9297;3816856,4734;-667665,0374;-1196087,0029;0;611726,37;164931,84;-1595247,2586;-377497,9543;867,85;629383,4366;-25286167,39;0;31362202,46;0;630251,2866;8406637,4575;-27149919,4302;0;26772421,4759;0
EAC                 ;2025-02-17;04065033000170;2024-06-01;-66,91;746772,5403;2655588,9365;-937497,1758;-1528591,1643;0;354199,29;111893,81;-1595247,2586;-399437,0057;753,22;600223,4666;-22820145,96;458241,5;28793604,88;-66,91;1059218,1866;86991,3595;-25286167,3901;0;31362202,457;0
EAC                 ;2025-02-17;04065033000170;2024-05-01;-2462,54;101451,555;5206298,2522;-1195296,9274;-1691744,0865;0;105312,4;36561,63;-1595247,2585;-238370,858;63425,12;592021,4566;-19935567,49;142617,34;23587306,63;-2462,54;339822,413;0;-22820145,9639;458241,5036;28793604,8822;0
EAC                 ;2025-02-17;04065033000170;2024-04-01;-709,96;93773,3272;3160074,732;424456,3142;-1939210,5604;0;-25474,63;-34955,93;-1595247,2585;-283532,7419;29,21;519894,1966;-18421523,2;0;20427231,9;-709,96;377306,0691;0;-19935567,4862;142617,3375;23587306,632;0
EAC                 ;2025-02-17;04065033000170;2024-03-01;2094,7;2427567,7333;3178844,6411;-1059320,9174;-2114591,5659;0;-164602,92;-97663,39;-1595247,2585;-257077,9974;36,18;598512,7366;-15247610,72;0;19336578,77;0;598548,9166;2088191,5141;-18421523,2033;0;20427231,897;0
EAC                 ;2025-02-17;04065033000170;2024-02-01;2209,16;866840,696;3437173,538;-2299512,6684;-1990766,3909;0;-94220,68;-49002,08;-1595247,2586;-252296,3723;53,29;468704,5666;-10957331,66;0;16551993,6;0;468757,8566;652588,3718;-15247610,7192;0;19336578,7662;0
EAC                 ;2025-02-17;04065033000170;2024-01-01;511,9;78896,2195;4827975,1248;-1525525,4568;-1890650,334;0;-3188,83;-50000,88;-1595247,2586;-242213,3654;899,91;243433,5766;-7541155,87;13778,77;11786366,19;0;258112,2566;62347,713;-10957331,6608;0;16551993,6018;0
EAC                 ;2025-02-17;04065033000170;2023-12-01;-5930,57;116257,4224;4030839,5845;-1054673,3311;-1610640,1496;0;84619,64;103498,07;-1533747,3432;-265010,5164;1218,63;249972,3982;-4881772,96;143855,68;7755526,61;-5930,57;381267,9389;0;-7541155,8707;13778,7693;11786366,1945;0
EAC                 ;2025-02-17;04065033000170;2023-11-01;-2660,22;75300,0341;4139454,2894;-824987,015;-1511947,4641;0;112529,79;89772,21;-1436372,4771;-277876,987;2192,58;282266,5292;-2547498,7;212573,59;3616072,32;-2660,22;353177,0211;0;-4881772,9591;143855,678;7755526,6094;0
EAC                 ;2025-02-17;04065033000170;2023-10-01;2131,5;327257,3712;4210835,794;-1151264,7868;-1396233,9118;0;213614,03;126591,92;-1436372,4771;-300067,3847;664,21;230415,7292;-27730338,75;-212573,59;44504042,65;0;18506,3492;594763,4768;-30277837,4486;0;48120114,9673;0
